workout_id,date,exercise,category,duration_in_min,intensity
1,08/15/14,jog,cardio,5,low
1,08/15/14,push ups,strength,1,
1,08/15/14,planks,strength,3,
1,08/15/14,tricep kickbacks,strength,0.5,
1,08/15/14,jumping jacks,cardio,1,high
1,08/15/14,squats,strength,1,
1,08/15/14,lunges,strength,1,
1,08/15/14,jog,cardio,5,low
2,08/16/14,running,cardio,40,medium
3,08/17/14,jog,cardio,15,low
3,08/17/14,200-meter sprint,cardio,0.5,high
3,08/17/14,jog,cardio,1,low
3,08/17/14,400-meter sprint,cardio,1.5,high
3,08/17/14,jog,cardio,1.5,low
3,08/17/14,600-meter sprint,cardio,2.5,high
3,08/17/14,jog,cardio,2.5,low
3,08/17/14,400-meter sprint,cardio,1.5,high
3,08/17/14,jog,cardio,1.5,low
3,08/17/14,200-meter sprint,cardio,0.5,high
3,08/17/14,jog,cardio,15,low
4,08/20/14,swimming,cardio,35,medium
5,08/22/14,jog,cardio,10,low
5,08/22/14,squats,strength,1,
5,08/22/14,lunges,strength,1,
5,08/22/14,chest press,strength,0.5,
5,08/22/14,burpees,cardio,0.5,high
5,08/22/14,pull ups,strength,0.5,
5,08/22/14,sit ups,strength,1,
5,08/22/14,bicycle crunches,strength,1,
5,08/22/14,mountain climbers,cardio,1,high
5,08/22/14,squats,strength,1,
5,08/22/14,lunges,strength,1,
5,08/22/14,chest press,strength,0.5,
5,08/22/14,sprints,cardio,2,high
5,08/22/14,pull ups,strength,0.5,
5,08/22/14,sit ups,strength,1,
5,08/22/14,bicycle crunches,strength,1,
5,08/22/14,mountain climbers,cardio,1,high
5,08/22/14,jog,cardio,10,low
6,08/23/14,yoga,other,90,
